playerId,playerName,teamId,teamName,country,goalsCount,homeGoals,awayGoals,homePenalty,awayPenalty,matchNum,subNum
131133,Benjamin Kallman,169,Hannover 96,Finland,13,3,10,0,0,22,7
132481,Isac Lidberg,1080,Darmstadt,Sweden,12,8,4,0,0,20,0
180567,Ivan Prtajin,175,Kaiserslautern,Croatia,11,6,5,0,0,14,2
167801,Mateusz Zukowski,2760,Magdeburg,Poland,11,4,7,1,1,11,0
115693,Marvin Wanitzek,487,Karlsruher SC,Germany,10,4,6,0,2,23,0
239009,Noel Futkeu,458,Greuther Furth,Germany,10,3,7,0,3,23,2
103038,Kenan Karaman,151,Schalke 04,Turkey,10,4,6,1,4,22,1
145218,Cedric Jan Itten,1344,Fortuna Dusseldorf,Switzerland,9,5,4,0,0,21,0
163406,Naatan Skytta,175,Kaiserslautern,Finland,9,7,2,0,0,21,2
241209,Mohamed Ali Zoma,136,Nurnberg,Italy,9,8,1,0,0,21,1
161739,Fraser Hornby,1080,Darmstadt,Scotland,9,6,3,1,1,20,1
115445,Fabian Schleusener,487,Karlsruher SC,Germany,8,5,3,0,0,22,4
282505,Younes Ebnoutalib,1076,SV Elversberg,Germany,8,2,6,0,1,17,4
251430,Francis Onyeka,95,VfL Bochum,Germany,8,6,2,1,1,20,3
179358,Filip Bilbija,1720,SC Paderborn 07,Germany,8,4,4,1,2,19,4
179836,Joel Grodowski,90,Arminia Bielefeld,Germany,8,7,1,3,1,21,3
79150,Felix Klaus,458,Greuther Furth,Germany,7,2,5,0,0,17,0
202433,Lukas Petkov,1076,SV Elversberg,Bulgaria,7,4,3,0,1,23,0
202778,Luca Schuler,139,Hertha Berlin,Germany,6,0,6,0,0,17,6
238485,Laurin Curda,1720,SC Paderborn 07,Germany,6,3,3,0,0,21,0
175289,Christoph Daferner,425,Dynamo Dresden,Germany,6,4,2,1,0,19,6
139291,Fabian Reese,139,Hertha Berlin,Germany,6,3,3,2,1,22,1
139279,Noah-Joel Sarenren-Bazee,90,Arminia Bielefeld,Germany,5,3,2,0,0,16,7
154576,Etienne Amenyido,1086,Preuben Munster,Togo,5,2,3,0,0,14,5
88889,Philipp Hofmann,95,VfL Bochum,Germany,5,4,1,0,0,22,4
215801,Killian Corredor,1080,Darmstadt,France,5,1,4,0,0,19,2
219942,Matej Maglica,1080,Darmstadt,Croatia,5,3,2,0,0,20,6
253998,Jakob Lemmer,425,Dynamo Dresden,Germany,5,3,2,0,0,22,6
253053,Rafael Lubach,136,Nurnberg,Germany,5,2,3,1,0,20,0
186856,Julian Justvan,136,Nurnberg,Germany,5,4,1,0,1,22,0
207106,Mehmet Can Aydin,1116,Eintracht Braunschweig,Turkey,5,3,2,2,0,21,2
166591,Oliver Batista Meier,1086,Preuben Munster,Germany,5,4,1,2,0,22,2
157765,David Zec,1117,Holstein Kiel,Slovenia,5,3,2,1,2,21,0
148044,Hasan Kurucay,151,Schalke 04,Turkey,4,2,2,0,0,20,2
150677,Steffen Tigges,1720,SC Paderborn 07,Germany,4,4,0,0,0,20,6
146575,Moussa Sylla,151,Schalke 04,Mali,4,2,2,0,0,20,3
146963,Alexander Rossipal,425,Dynamo Dresden,Germany,4,2,2,0,0,16,1
27125,Edin Dzeko,151,Schalke 04,Bosnia and Herzegovina,4,4,0,0,0,4,2
124578,Gerrit Holtmann,95,VfL Bochum,Philippines,4,2,2,0,0,16,1
125858,Baris Atik,2760,Magdeburg,Germany,4,2,2,0,0,22,0
175800,Christian Conteh,1116,Eintracht Braunschweig,Germany,4,1,3,0,0,17,0
178679,Erencan Yardimci,1116,Eintracht Braunschweig,Turkey,4,3,1,0,0,20,2
